payment_id,loan_id,payment_date,amount_paid,principal_component,interest_component,late_payment_flag
135,19606,11/13/2024,1784.42,1395.82,388.6,0
136,9825,09/24/2016,3198.6,2820.89,377.71,1
137,3763,06/13/2024,6572.12,5405.61,1166.51,0
138,14281,10/19/2025,13920.41,10067.4,3853.01,0
139,8071,11/16/2015,35617.63,28572.84,7044.79,0
140,16258,10/29/2023,8995.36,8222.08,773.28,0
141,6508,12/08/2017,42234.31,32298.01,9936.3,0
142,15447,08/21/2016,2770.77,2300.88,469.89,0
143,22,07/07/2011,3171.51,2364.12,807.39,0
144,19919,11/08/2016,9229.19,8203.69,1025.5,0
145,18138,09/11/2017,10428.47,9718.27,710.2,1
146,3090,09/20/2013,16225.02,12221.82,4003.2,0
147,6604,11/24/2019,1797.79,1705.11,92.68,0
148,13235,03/10/2020,14196.14,11756.15,2439.99,0
149,20332,12/07/2021,778.74,580.78,197.96,0
150,11490,11/01/2022,13599.78,9852.46,3747.32,0
151,21166,08/13/2015,26350.93,21105.35,5245.58,0
152,10551,03/29/2026,2658.73,1941.9,716.83,0
153,12692,01/24/2026,3504.59,2972.48,532.11,0
154,10617,02/10/2025,14925.02,12850.45,2074.57,0
155,6971,06/06/2020,940.14,839.25,100.89,0
156,846,09/13/2012,35788.7,27440.76,8347.94,0
157,10855,12/04/2015,6980.23,6458.67,521.56,0
158,15302,05/28/2017,16063.3,14256.12,1807.18,1
159,331,09/22/2020,2753.57,2395.16,358.41,0
160,21043,07/28/2015,752.14,678.48,73.66,0
161,19947,08/02/2018,4978.46,4174.25,804.21,1
162,5720,01/02/2016,34010.06,25065.63,8944.43,0
163,4882,12/20/2011,2336.52,2116.96,219.56,0
164,8666,12/01/2022,2622.64,2145.13,477.51,0
165,8883,02/04/2019,4167.55,3378.16,789.39,0
166,20444,04/02/2019,3491.43,2851.26,640.17,0
167,3245,02/12/2021,3193.15,2775.87,417.28,0
168,79,04/26/2018,4800.6,4339.93,460.67,0
169,13559,08/14/2022,4498.84,3676.63,822.21,0
170,11994,06/07/2011,2697.31,2221.36,475.95,0
171,20337,07/05/2024,8203.97,6357.47,1846.5,0
172,5065,05/16/2019,3550.03,2832.57,717.46,1
173,17337,11/13/2015,11482.97,8596.18,2886.79,0
174,15534,06/08/2025,10335.12,9198.22,1136.9,0
175,7041,06/16/2015,6710.4,5636.21,1074.19,0
176,6743,01/12/2022,16636.52,12260.51,4376.01,0
177,16583,01/12/2023,3821.67,2980.23,841.44,0
178,1615,01/16/2015,11787.98,8567.32,3220.66,0
179,2494,06/19/2010,4243.96,3221.59,1022.37,0
180,15869,06/06/2015,3912.67,3027.34,885.33,0
181,14920,09/09/2011,6300.63,4648.53,1652.1,0
182,14722,03/02/2011,6181.62,4868.41,1313.21,0
183,13655,06/04/2022,1627.82,1169.41,458.41,0
184,2711,05/09/2015,20988.96,16775.75,4213.21,0
185,13416,11/22/2024,3081.72,2489.35,592.37,0
186,13166,06/21/2012,3098.64,2918.79,179.85,1
187,9831,02/19/2017,844.65,763.38,81.27,0
188,15674,01/09/2023,33963.12,24566.4,9396.72,0
189,9159,12/05/2017,12925.34,12099.97,825.37,0
190,7721,06/19/2024,2096.59,1920.38,176.21,1
191,9548,01/03/2021,12873.31,11254.84,1618.47,0
192,319,03/02/2012,16956.04,15178.43,1777.61,0
193,17496,01/25/2013,22141.73,19677.65,2464.08,0
194,13385,11/01/2022,12910,11764.87,1145.13,0
195,9113,12/17/2019,1837.43,1511.02,326.41,0
196,11045,02/05/2012,9388.61,6826.03,2562.58,0
197,2310,02/12/2013,1532.55,1094.69,437.86,0
198,20756,10/20/2020,2713.35,2135.18,578.17,1
199,13231,03/02/2024,16271.28,12322.93,3948.35,0
200,7856,08/29/2020,7137.72,5814.61,1323.11,1
201,16635,03/08/2015,10923.6,9106.35,1817.25,0
202,10084,01/01/2013,1562.04,1279.17,282.87,0
203,748,12/20/2025,1894.48,1637.14,257.34,0
204,6288,03/18/2022,21123.01,17335.37,3787.64,0
205,2456,07/26/2011,6043.26,5131.02,912.24,0
206,11832,11/05/2015,1655.59,1333.47,322.12,0
207,7176,08/09/2024,15372.39,14356.3,1016.09,0
208,4799,02/08/2021,12797.93,12015.53,782.4,0
209,17643,08/09/2018,17531.53,14445.12,3086.41,0
210,19230,03/27/2013,19796.89,17021.28,2775.61,0
211,6234,07/11/2019,5586.64,4299.71,1286.93,0
212,5760,03/14/2015,8350.11,6063.69,2286.42,0
213,12134,04/25/2017,18702.06,16770.97,1931.09,0
214,4026,10/18/2023,13490.87,10821.7,2669.17,0
215,14174,05/29/2026,6321,4714.79,1606.21,0
216,6078,03/28/2011,11678.59,9897.63,1780.96,0
217,9064,11/30/2012,7542.17,6057.7,1484.47,1
218,2043,10/28/2020,1139.5,882.22,257.28,0
219,11719,05/25/2024,33727.08,27418.51,6308.57,0
220,3772,10/24/2024,11384.37,8215.15,3169.22,0
221,21941,09/20/2016,11528.43,8346.72,3181.71,1
222,5195,02/05/2019,6946.86,6345.79,601.07,0
223,20327,05/20/2014,17426.42,14100.37,3326.05,1
224,11030,11/06/2019,17870.02,15118.46,2751.56,0
225,12364,09/26/2023,35085.54,27806.2,7279.34,0
226,21821,02/05/2026,2213.42,1900.62,312.8,0
227,18312,11/13/2016,53493.72,42599.49,10894.23,0
228,16591,07/03/2019,16743.36,12265.43,4477.93,0
229,11265,06/01/2024,21030.59,15567.56,5463.03,0
230,840,03/25/2016,3033.19,2560,473.19,0
231,2131,02/03/2024,1335.96,960.66,375.3,0
232,5511,11/08/2018,15918.35,13700.11,2218.24,0
233,10610,12/29/2017,8030.2,6513.48,1516.72,0
234,5739,01/25/2018,923.3,777.88,145.42,0
235,10670,06/25/2023,15139.49,12845.85,2293.64,0
236,14907,10/21/2017,6363.29,4728.45,1634.84,0
237,8987,04/07/2022,13906.66,11764.77,2141.89,0
238,10571,02/15/2015,7193.38,5931.01,1262.37,0
239,21381,03/11/2017,3505.49,2598.29,907.2,0
240,70,11/12/2023,9689.82,7266.03,2423.79,0
241,5910,06/10/2013,2508.31,2149.08,359.23,0
242,9953,11/11/2024,1101.43,896.87,204.56,0
243,20520,03/01/2020,4946.24,3859.69,1086.55,0
244,7987,04/07/2012,2605.07,2102.19,502.88,0
245,5610,09/20/2014,2561.02,1999.03,561.99,0
246,6628,03/10/2012,12827.06,9424.29,3402.77,0
247,12585,07/14/2020,1706.54,1508.82,197.72,0
248,15488,04/20/2013,7710.79,6780.66,930.13,0
249,15831,07/07/2023,3994.45,3662.95,331.5,0
250,5853,12/17/2013,4326.15,3224.14,1102.01,0
251,21370,03/01/2017,59661.57,44120.12,15541.45,0
252,1697,10/12/2016,3094.79,2235.48,859.31,0
253,1130,02/15/2026,11680.14,9768.84,1911.3,0
254,8898,01/26/2012,4828.05,4463.86,364.19,0
255,556,12/10/2017,9356.65,8349.67,1006.98,0
256,16213,01/26/2021,1855.92,1750.58,105.34,0
257,3312,08/26/2012,842.73,656.01,186.72,0
258,7309,05/22/2026,22435.42,20676.05,1759.37,0
259,19272,03/17/2018,15689.78,14913.42,776.36,0
260,2362,07/30/2014,4439.31,3976.6,462.71,1
261,11546,07/05/2010,4988.55,4296.57,691.98,0
262,11927,03/12/2013,25706.84,19461.81,6245.03,0
263,10384,08/17/2017,8196.15,6758.07,1438.08,0
264,5181,11/29/2022,18638.57,15512.58,3125.99,0
265,21682,09/12/2016,7582.13,5601.93,1980.2,0
266,15238,03/14/2024,1122.2,912.3,209.9,0
267,14585,07/17/2014,24409.64,20156.27,4253.37,1
268,4735,02/15/2023,9836.25,8082.62,1753.63,0
269,17760,01/11/2024,6966.55,5325.96,1640.59,0
270,358,03/17/2024,10292.01,7770.89,2521.12,0
271,3047,09/07/2015,1448.22,1198.27,249.95,0
272,9104,07/12/2024,18335.7,13864.5,4471.2,0
273,17791,06/09/2024,33012.58,24054.5,8958.08,0
274,253,04/25/2026,10508.9,8987.97,1520.93,0
275,8336,07/10/2025,25803.03,19042.37,6760.66,0
276,324,12/10/2018,6240.68,5507.98,732.7,0
277,19653,04/14/2013,4588.78,3982.28,606.5,0
278,11419,02/21/2023,3010.53,2426.88,583.65,0
279,11053,06/02/2025,35636.84,29919.09,5717.75,0
280,19501,02/07/2011,8035.15,7029.59,1005.56,0
281,7042,05/15/2021,9698.44,7162.48,2535.96,1
282,7511,11/26/2010,6168.9,4684.8,1484.1,0
283,5050,08/15/2010,3481.57,2945.27,536.3,0
284,12284,12/22/2017,3831.72,3532.46,299.26,0
285,8456,08/29/2024,14402.57,11632.55,2770.02,0
286,14548,04/13/2016,7439.53,5720.87,1718.66,1
287,17137,10/20/2023,10466.17,8067.64,2398.53,0
288,1305,08/09/2015,40084.54,34975.66,5108.88,0
289,4217,09/04/2020,4358.45,3248.54,1109.91,0
290,8025,10/27/2022,3075.08,2643.31,431.77,0
291,5014,03/03/2026,10120.44,7315.31,2805.13,0
292,19319,05/16/2015,9257.44,8090.44,1167,0
293,4329,07/28/2013,40033.15,36763.31,3269.84,0
294,16513,06/07/2016,5877.68,4709.13,1168.55,0
295,10283,05/04/2019,2396.65,2160.69,235.96,0
296,3443,07/26/2016,4837.72,3801.21,1036.51,0
297,8867,09/19/2017,25984.57,22534.15,3450.42,0
298,10367,07/22/2019,7293.05,6357.24,935.81,0
299,16293,01/13/2024,25383.9,19175.45,6208.45,0
300,3405,07/11/2021,8079.94,5863.56,2216.38,0
301,4286,06/17/2012,33798.11,24285.72,9512.39,0
302,5246,10/23/2021,1046.3,914.6,131.7,0
303,6181,10/20/2013,24036.66,18383.34,5653.32,0
304,831,04/19/2010,2477.12,2348.51,128.61,0
305,19286,07/17/2022,5382.44,4772.67,609.77,0
306,4267,10/04/2017,23884.87,19380.61,4504.26,0
307,3694,08/02/2011,2193.3,1681.81,511.49,0
308,20855,12/30/2011,1823.32,1425.87,397.45,0
309,5644,11/23/2018,6286.09,5868.65,417.44,0
310,5751,09/03/2016,1219.65,988.1,231.55,1
311,14571,11/04/2017,3623.51,2963.63,659.88,0
312,7035,12/05/2011,16309.04,13113.46,3195.58,0
313,4308,10/22/2015,6914.16,6388.33,525.83,0
314,10939,05/16/2010,1357.34,1050.65,306.69,0
315,5420,03/17/2019,14529.7,12459.92,2069.78,0
316,15208,11/09/2022,2578.97,1858.27,720.7,0
317,10908,09/21/2020,22630.02,16632.38,5997.64,0
318,9391,08/14/2011,3273.49,2665.34,608.15,1
319,8434,07/24/2011,14814.42,11897.61,2916.81,0
320,1512,12/17/2010,14754.08,10991.68,3762.4,0
321,285,06/04/2016,3268.58,2492.18,776.4,0
322,10767,12/02/2020,5467.98,4596.84,871.14,0
323,4544,07/05/2017,8472.69,7283.43,1189.26,0
324,11535,07/18/2013,3697.63,3485.64,211.99,0
325,12366,10/10/2020,10426.96,7590.18,2836.78,0
326,9771,07/17/2023,12402.07,9722.46,2679.61,0
327,19928,09/30/2015,9661.73,7054.51,2607.22,0
328,8579,05/23/2013,1792.79,1604.72,188.07,0
329,14294,10/28/2014,1283.64,1037.3,246.34,0
330,13880,09/05/2020,3491.08,2690.85,800.23,0
331,12412,07/27/2016,13321.16,12468.61,852.55,0
332,8173,08/06/2012,23774.82,17197.38,6577.44,0
333,12983,01/02/2016,13442.08,11616.97,1825.11,0
334,9283,05/21/2018,8053.56,6562.33,1491.23,0
335,3718,06/22/2015,14870.96,13177.58,1693.38,0
336,13233,07/27/2023,5606.16,5062.02,544.14,0
337,5955,10/06/2020,2539.58,1855.75,683.83,0
338,2625,08/22/2011,8289.87,6877.86,1412.01,0
339,20208,09/16/2025,2156.54,1680.5,476.04,0
340,2406,08/02/2015,36606.52,31773.71,4832.81,0
341,18212,02/01/2015,2875.45,2685.46,189.99,0
342,5033,04/14/2012,16395.63,13052.24,3343.39,0
343,15401,10/05/2013,1157.71,921.17,236.54,0
344,10454,02/28/2026,34567.07,27054.06,7513.01,0
345,1656,05/26/2010,11289.74,9560.92,1728.82,0
346,3543,12/15/2023,19476.23,14596.2,4880.03,0
347,13746,09/27/2011,18390.94,17131.11,1259.83,0
348,7296,02/20/2025,9278.71,8274.44,1004.27,0
349,15481,10/23/2012,7588.86,5670.33,1918.53,0
350,12587,01/31/2023,5974.57,4900.87,1073.7,0
351,15820,01/09/2022,2828.1,2389.4,438.7,1
352,1471,03/28/2023,1430.3,1176.57,253.73,1
353,448,11/14/2017,9198.09,7537.14,1660.95,0
354,7201,03/09/2012,11320.14,10588.08,732.06,0
355,14261,11/09/2025,17146.03,16155.57,990.46,0
356,1728,04/02/2015,22332.56,19204.68,3127.88,0
357,19965,10/09/2020,1050.75,815.4,235.35,0
358,20239,07/13/2017,6721.27,5221.98,1499.29,0
359,12048,10/29/2016,31231.67,26872.41,4359.26,0
360,18675,01/12/2011,17858.15,15915.41,1942.74,0
361,5683,07/22/2021,17116.14,12808.08,4308.06,0
362,6730,08/23/2016,1037.52,871.22,166.3,0
363,568,08/22/2023,5546.63,4119.8,1426.83,0
364,11495,07/10/2016,1604.27,1432.25,172.02,0
365,6051,04/29/2016,1372.27,1014.55,357.72,0
366,16460,05/09/2015,5058,3916.36,1141.64,0
367,12999,05/26/2017,41360.89,35101.05,6259.84,0
368,14309,12/12/2015,43315.76,33259.25,10056.51,0
369,6776,09/06/2016,9002.46,7945.73,1056.73,0
370,4786,05/13/2021,4766.91,3604.36,1162.55,0
371,5910,08/26/2023,4772.07,3586.55,1185.52,1
372,18343,01/06/2016,10942.6,8046.49,2896.11,0
373,15049,12/28/2021,4348.74,3220.76,1127.98,0
374,484,02/05/2023,16304.8,13802.56,2502.24,0
375,928,05/17/2022,27796.39,21776.27,6020.12,0
376,14259,09/02/2013,4148.14,3861.12,287.02,0
377,13350,07/18/2025,7115.5,6308.49,807.01,0
378,19228,11/07/2012,4177.39,3193.41,983.98,0
379,12084,01/22/2014,36315.17,26247.59,10067.58,0
380,19567,02/08/2024,14622.94,12518.65,2104.29,0
381,19869,02/09/2012,979.24,875.3,103.94,0
382,12782,05/19/2022,32569.4,25628.13,6941.27,0
383,6740,09/07/2020,66740.48,51203.77,15536.71,0
384,4170,01/08/2016,3182.83,2792.28,390.55,0
385,8870,07/11/2023,22148.14,17714.8,4433.34,0
386,19564,02/26/2026,14253.56,12753.7,1499.86,0
387,8073,05/02/2013,15512.57,11165.67,4346.9,0
388,5402,01/25/2024,3683.86,3193.14,490.72,0
389,14144,08/31/2015,10671.32,8565.99,2105.33,0
390,11770,01/10/2015,26967.1,21873.07,5094.03,0
391,8593,10/08/2019,34068.96,25143.73,8925.23,0
392,13972,08/23/2010,6931.2,5558.38,1372.82,0
393,12991,02/01/2011,10793.88,7947.66,2846.22,0
394,10004,11/30/2014,14429.9,12023.62,2406.28,1
395,15039,12/24/2020,6467.41,6121.1,346.31,0
396,1575,04/07/2010,8587.38,8094.21,493.17,0
397,841,11/08/2012,1864.75,1479.72,385.03,0
398,18196,03/23/2015,10888.87,8584.65,2304.22,1
399,20679,08/12/2014,6596.33,5095.49,1500.84,1
400,11580,05/23/2012,13114.77,9640.03,3474.74,1
401,9820,08/09/2021,728.99,651.36,77.63,0
402,5202,12/29/2014,14603.13,13635.02,968.11,1
403,21287,06/19/2011,23046.06,20756.83,2289.23,1
404,7498,01/05/2020,6943.32,6287.36,655.96,0
405,8237,08/12/2023,1609.12,1181.38,427.74,0
406,11070,02/18/2011,12683.96,10548.18,2135.78,0
407,19001,09/10/2020,17368.35,12530.64,4837.71,1
408,16529,04/26/2018,4746.93,3562.41,1184.52,0
409,12861,12/10/2015,549.89,511.04,38.85,0
410,13522,09/07/2022,27469.73,21909.3,5560.43,0
411,7037,01/19/2022,6769.13,5186.12,1583.01,0
412,17285,02/09/2024,3976.33,3668.92,307.41,0
413,15377,12/04/2022,37737.44,27393.4,10344.04,0
414,1607,08/11/2019,14111.45,12936.89,1174.56,0
415,14909,05/06/2021,6078.12,4419.34,1658.78,0
416,19186,11/02/2010,21424.26,15719.48,5704.78,0
417,9915,10/12/2024,21500.29,15968.3,5531.99,0
418,12182,03/11/2024,5381.55,3865.77,1515.78,0
419,19081,03/18/2026,22022.02,18280.87,3741.15,0
420,12872,05/01/2010,1424.03,1147.54,276.49,0
421,18732,08/26/2010,782.57,601.23,181.34,0
422,19764,08/02/2016,35736.37,26985.59,8750.78,0
423,13064,10/01/2022,13465.35,12597.27,868.08,0
424,20342,07/28/2021,10824.96,7737.82,3087.14,0
425,5671,01/11/2021,5985.64,4578.52,1407.12,0
426,7069,02/25/2014,7061.03,6618.88,442.15,0
427,20975,01/17/2024,21651.22,16142.04,5509.18,0
428,13856,06/10/2019,5576.27,4067.61,1508.66,0
429,4726,04/23/2016,9264.05,6718.64,2545.41,0
430,16378,11/26/2025,8173.88,7367.05,806.83,0
431,15282,05/11/2023,9042.3,6946.88,2095.42,0
432,3261,10/07/2025,43931.75,39944.8,3986.95,0
433,1948,11/28/2012,9161.78,8626.09,535.69,1
434,4582,04/24/2025,728.31,596.81,131.5,0
435,11462,03/17/2020,2002.22,1765.39,236.83,1
436,11237,02/03/2026,4612.91,4191.77,421.14,0
437,13167,08/10/2011,12582.96,10236.98,2345.98,0
438,12798,08/07/2019,17882.77,15538.06,2344.71,0
439,12539,06/09/2012,5595.96,5148.11,447.85,0
440,9796,11/23/2022,8335.33,7574.01,761.32,0
441,14248,02/07/2017,3669.16,2630.37,1038.79,1
442,13090,07/08/2016,15625.83,13788.78,1837.05,1
443,6853,03/30/2012,13893.96,12625.3,1268.66,0
444,2694,09/06/2024,1293.33,955.63,337.7,0
445,14770,01/15/2012,2372.81,2091.25,281.56,0
446,8936,10/16/2020,30178.75,28396.41,1782.34,0
447,5789,06/29/2016,39869.12,30114.82,9754.3,1
448,4556,02/16/2022,15444.15,14067.65,1376.5,0
449,7076,09/14/2020,4225.46,3293.37,932.09,0
450,5948,10/06/2018,3184.26,2429.09,755.17,0
451,2295,06/06/2017,4114.83,3049.13,1065.7,1
452,21484,06/12/2013,2856.03,2583.02,273.01,0
453,14691,09/22/2023,20244.61,17831.14,2413.47,0
454,16253,12/04/2021,25777.41,19596.34,6181.07,0
455,7792,12/05/2020,11352.98,8858.26,2494.72,0
456,6079,04/21/2014,21023.59,15280.61,5742.98,0
457,17074,12/14/2015,17032.21,14987.02,2045.19,0
458,20999,12/26/2015,25176.46,23067.53,2108.93,0
459,18848,08/16/2015,1263.58,1101.89,161.69,0
460,15195,05/13/2026,2020.59,1712.99,307.6,0
461,14953,12/26/2025,682.51,515.81,166.7,0
462,3312,06/09/2021,39367.27,34451.57,4915.7,0
463,15076,02/12/2020,5124.4,4004.16,1120.24,0
464,1259,11/27/2019,5244.98,4736.35,508.63,0
465,9108,04/20/2010,11082.71,9575.84,1506.87,0
466,4726,05/29/2020,5543.82,4024.56,1519.26,0
467,17756,04/12/2016,1195.73,1005.86,189.87,1
468,1831,02/15/2026,3242.02,2337.37,904.65,0
469,7981,10/26/2021,11130.14,8489.49,2640.65,0
470,11776,03/29/2013,42891.38,33772.06,9119.32,0
471,9974,09/02/2019,5127.65,4123.02,1004.63,0
472,7388,06/21/2013,632.22,581.09,51.13,0
473,1223,11/02/2022,10279.95,7379,2900.95,0
474,3805,02/11/2026,1690.62,1228.44,462.18,0
475,1965,05/29/2021,10459.38,9302.93,1156.45,0
476,11075,05/09/2011,1634.11,1513.3,120.81,0
477,10342,04/18/2012,29651.78,22607.34,7044.44,0
478,14776,10/11/2024,1059.42,965.83,93.59,0
479,2503,09/11/2023,28124.55,23130.88,4993.67,0
480,17261,08/28/2023,619.46,579.11,40.35,0
481,6331,10/25/2023,10599.65,9674.21,925.44,0
482,17236,03/09/2010,7254.81,5221.39,2033.42,0
483,5349,02/25/2018,8919.98,6693.36,2226.62,0
484,12449,12/06/2015,16507.95,13822.83,2685.12,0
485,13026,10/09/2021,15990.97,12449.93,3541.04,0
486,17651,01/14/2023,21248.85,15295.6,5953.25,0
487,19014,07/30/2024,6381.44,4623.82,1757.62,0
488,20941,02/02/2021,4459.98,3399.84,1060.14,0
489,6962,06/04/2012,11698.02,10243.6,1454.42,0
490,10268,11/08/2025,6605.75,6084.81,520.94,0
